Experiment,Link,Author,New_Link
KLF4_A,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Sen,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE32685
ZNF750,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Sen,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE32685
ACTL6a,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Sen,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE36222
GRHL3_A,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Hopkin,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE37049
MLL2,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Hopkin,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE37570
S0.0I2_Over,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Sun,**TO-DO: Publicly Post**
S0.0I2_Knockdown,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Sun,**TO-DO: Publicly Post**
DMNT1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Sen,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18590
CBX4_Over,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Luis,**TO-DO: Publicly Post**
CBX4_Knockdown,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Luis,**TO-DO: Publicly Post**
MAFB1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Lopez-Pazares,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52954
MPZL3,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Bhaduri,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4845910/
FDXR,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Bhaduri,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4845910/
TINCR,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Kretz,https://www.ncbi.nlm.nih.gov/sra?term=SRP010678
CALML5,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Sun,**TO-DO: Publicly Post**
SFN,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Sun,**TO-DO: Publicly Post**
ATF2,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,BIG EXPERIMENT
