"Gene","CBX4_Over"
"A14GALT",0
"A1BG",0
"A1CF",0
"A225490",0
"A2BP1",0
"A2LD1",-1.6477
"A2LP",0
"A2M",0
"A2ML1",0
"A4GALT",0
"A4GNT",0
"A533284",0
"A746290",0
"A748492",0
"A836114",0
"AA150211",0
"AA442488",1.5064
"AA541413",0
"AA666384",-1.9338
"AA837799",0
"AA968804",-1.6191
"AAAS",0
"AACS",0
"AADAC",0
"AADACL1",0
"AADACL2",-1.5526
"AADACL3",0
"AADACL4",0
"AADAT",-1.5909
"AAED1",0
"AAGAB",0
"AAMDC",0
"AAMP",0
"AA0.0T",0
"AAR2",0
"AARD",0
"AARS",0
"AARS2",-1.9448
"AARSD1",-1.6186
"AASDH",-1.6314
"AASDH",-1.6314
"AASDH",-1.6314
"AASDHPPT",0
"AASS",0
"AATF",0
"AATF",0
"AATK",-2.1033
"AATK",-2.1033
"AB019568",0
"AB062480",0
"AB371542",1.8792
"ABAT",1.8902
"ABCA1",0
"ABCA1",0
"ABCA10",0
"ABCA12",0
"ABCA13",0
"ABCA2",0
"ABCA3",1.9493
"ABCA4",0
"ABCA5",0
"ABCA5",0
"ABCA6",0
"ABCA7",0
"ABCA8",0
"ABCA9",0
"ABCB1",0
"ABCB10",-1.7002
"ABCB11",0
"ABCB3",0
"ABCB4",0
"ABCB5",0
"ABCB6",0
"ABCB7",0
"ABCB8",0
"ABCB9",0
"ABCC1",0
"ABCC10",0
"ABCC11",0
"ABCC12",0
"ABCC3",0
"ABCC4",0
"ABCC4",0
"ABCC4",0
"ABCC5",0
"ABCC6",0
"ABCC8",0
"ABCC9",0
"ABCD1",3.4581
"ABCD2",0
"ABCD3",0
"ABCD4",0
"ABCE1",-1.5014
"ABCF1",1.5441
"ABCF2",0
"ABCF3",0
"ABCG1",0
"ABCG2",1.9764
"ABCG4",-1.6991
"ABCG5",0
"ABCG8",0
"ABCR",0
"ABF-1",0
"ABHD1",0
"ABHD1",0
"ABHD10",-1.7818
"ABHD10",-1.7818
"ABHD10",-1.7818
"ABHD11",0
"ABHD11",0
"ABHD12",0
"ABHD12B",0
"ABHD13",0
"ABHD14A",0
"ABHD14A-ACY1",0
"ABHD14B",0
"ABHD15",0
"ABHD16A",0
"ABHD16B",0
"ABHD17A",0
"ABHD17B",0
"ABHD17C",0
"ABHD18",0
"ABHD2",0
"ABHD3",2.1437
"ABHD4",3.226
"ABHD5",0
"ABHD6",2.2795
