"Gene","FDXR"
"A14GALT",0
"A1BG",4.4572
"A1CF",0
"A225490",0
"A2BP1",0
"A2LD1",0
"A2LP",0
"A2M",0
"A2ML1",52.6228
"A4GALT",19.2493
"A4GNT",0
"A533284",0
"A746290",0
"A748492",0
"A836114",0
"AA150211",0
"AA442488",0
"AA541413",0
"AA666384",0
"AA837799",0
"AA968804",0
"AAAS",0.0031
"AACS",0.0434
"AADAC",0
"AADACL1",0
"AADACL2",2e-04
"AADACL3",0
"AADACL4",0
"AADAT",0.1959
"AAED1",11.3226
"AAGAB",0.0041
"AAMDC",1.6762
"AAMP",18.6362
"AA0.0T",0
"AAR2",14.2315
"AARD",0.5117
"AARS",13.0004
"AARS2",0
"AARSD1",11.1795
"AASDH",1.076
"AASDH",1.076
"AASDH",1.076
"AASDHPPT",3.3052
"AASS",0.1471
"AATF",8.1865
"AATF",8.1865
"AATK",0
"AATK",0
"AB019568",0
"AB062480",0
"AB371542",0
"ABAT",0.6978
"ABCA1",2.5328
"ABCA1",2.5328
"ABCA10",0
"ABCA12",6.8067
"ABCA13",0
"ABCA2",1.3004
"ABCA3",0.0021
"ABCA4",0
"ABCA5",7.5735
"ABCA5",7.5735
"ABCA6",0
"ABCA7",0.769
"ABCA8",0
"ABCA9",0
"ABCB1",0
"ABCB10",1.49
"ABCB11",0
"ABCB3",0
"ABCB4",0
"ABCB5",0.0483
"ABCB6",2.2076
"ABCB7",0
"ABCB8",0.0172
"ABCB9",0
"ABCC1",2.8541
"ABCC10",1.2529
"ABCC11",0
"ABCC12",0
"ABCC3",2.2446
"ABCC4",0.0489
"ABCC4",0.0489
"ABCC4",0.0489
"ABCC5",1.4839
"ABCC6",0
"ABCC8",0
"ABCC9",0
"ABCD1",2.2991
"ABCD2",0
"ABCD3",6e-04
"ABCD4",0.6839
"ABCE1",9.7931
"ABCF1",4.7114
"ABCF2",1.4465
"ABCF3",0.077
"ABCG1",0.0082
"ABCG2",0.0581
"ABCG4",0.1183
"ABCG5",0
"ABCG8",0
"ABCR",0
"ABF-1",0
"ABHD1",0
"ABHD1",0
"ABHD10",1.8096
"ABHD10",1.8096
"ABHD10",1.8096
"ABHD11",4e-04
"ABHD11",4e-04
"ABHD12",10.4345
"ABHD12B",0
"ABHD13",11.4231
"ABHD14A",3.6005
"ABHD14A-ACY1",0
"ABHD14B",12.6662
"ABHD15",1.4722
"ABHD16A",4.1043
"ABHD16B",0.6437
"ABHD17A",2.5436
"ABHD17B",3.1141
"ABHD17C",7.755
"ABHD18",1.3007
