"Gene","JUN"
"A2ML1",0.438957435
"AACS",0.380497159
"AADACL1",-1.099487098
"AADAT",0.108225466
"AARS",1.030539778
"AASDH",0.057386684
"AASS",0.118319281
"AATF",1.104273794
"AATK",0.293752118
"ABAT",3.658518511
"ABCA1",-0.346681692
"ABCA12",-1.438932952
"ABCA2",-0.2136429
"ABCA5",0.894658427
"ABCC4",-0.166094724
"ABCG1",0.334620997
"ABCG4",0.276769918
"ABHD1",-0.440384515
"ABHD10",0.170070411
"ABHD11",-0.149660742
"ABHD3",-0.207814425
"ABHD6",-1.815267748
"ABHD7",-0.294410333
"ABHD9",-0.161067844
"ABI1",-1.173224037
"ABI2",-0.374428427
"ABI3",-0.018111733
"ABL1",-0.284853319
"ABL2",-0.24988125
"ABLIM1",-0.212968896
"ABLIM2",0.962376732
"ABLIM3",0.268484789
"ABO",-0.536808125
"ABR",0.497883615
"ABRA",0.141184114
"ABT1",-0.036416687
"ACAA1",1.433289034
"ACAA2",-2.773422455
"ACAD8",0.198204588
"ACBD3",-0.155804409
"ACBD5",0.17634838
"ACBD6",-0.073507369
"ACBD7",0.197506558
"ACE",-0.67732447
"ACE2",0.368865985
"ACN9",-0.269134695
"ACO1",-0.107620208
"ACOT8",-1.199784665
"ACOT9",-3.081626137
"ACOX1",4.508278311
"ACP1",-0.111270158
"ACP2",-0.39081933
"ACPP",-0.136070137
"ACRV1",-0.132871472
"ACSL1",-0.186574454
"ACSL3",0.546942891
"ACSL6",0.136573797
"ACSS2",3.168473978
"ACTA1",-0.432991157
"ACTA2",0.159508593
"ACTG2",-0.098284588
"ACTL6A",0.120057057
"ACTL6B",-0.135263139
"ACTL7B",-0.051647781
"ACTR3",0.219225657
"ACTR3B",0.379622915
"ACTR5",-0.429352497
"ACTR8",0.016152878
"ACVR1",-0.681936562
"ACVR1B",0.434557401
"ACVR2B",0.897372899
"ACVRL1",-0.141169077
"ADA",-0.674794807
"ADAM33",-0.36394518
"ADAM9",-4.903331754
"ADAMDEC1",-0.446053507
"ADAMTS1",-0.73305486
"ADAMTS3",0.095953621
"ADAMTS6",0.004172709
"ADAMTS9",-0.080865023
"ADAMTSL1",-0.09320971
"ADAMTSL3",0.13440586
"ADAMTSL4",-0.085294787
"ADARB1",0.077658987
"ADC",-0.327081348
"ADCK1",-0.101096913
"ADCK2",-0.372206212
"ADCY2",-0.317414528
"ADCY3",-0.163355815
"ADD1",-0.463955011
"ADD3",0.00089973
"ADM",0.063994413
"ADNP",0.823218667
"ADORA2A",-1.283023278
"ADPRH",-0.335784358
"ADRB1",0.086912102
"ADRB2",0.145106442
"ADRBK1",-0.366310288
"ADRM1",0.39584309
"ADSSL1",0.428358887
"AEBP1",0.157157282
"AEBP2",-0.141360013
"AES",-1.215276779
"AFAR3",-0.199795102
"AFF1",0.04862359
"AFF3",-0.194121938
"AFF4",-0.296039638
"AGER",-0.441717929
"AGGF1",-0.031502208
"AGPAT3",-0.158058687
"AGPAT6",-1.729415525
"AGR2",0.515319678
"AGRIN",-2.193397348
"AGRP",-0.139935687
"AGT",0.165254907
"AGTR1",0.068973546
"AGXT2L2",-0.051300263
"AHCTF1",-0.304257048
"AHCY",-0.070935135
"AHCYL1",0.029192587
"AHDC1",-0.33732784
"AHR",-2.882673429
"AHRR",0.04275213
"AIFM3",-0.0113006
"AIG1",-0.343693191
"AIM1",0.008529321
"AIM1L",-0.059737269
"AIP",0.150701597
"AIRE",-0.12623997
"AJAP1",0.479659761
"AK2",-0.073794999
"AK3",-0.243365361
"AK5",0.036482163
"AKAP12",-0.622626022
"AKAP13",-0.396804484
"AKAP7",0.085548981
"AKAP8L",0.030102051
"AKAP9",-0.676749762
"AKNA",-0.297445159
"AKR1A1",0.251521837
"AKR1C1",-0.206421449
"AKR1C3",-0.193024713
"AKT3",-0.27991559
"ALDH1A3",0.220877443
"ALDH1B1",-0.979743875
"ALDH1L2",0.362778603
"ALDH3A1",0.057558603
"ALDH3A2",-0.56721651
"ALDH3B2",-0.111672058
"ALDH4A1",-0.643701182
"ALDH6A1",0.133394151
"ALDH7A1",-0.35596584
"ALDH9A1",-2.107547319
"ALG13",-2.058575534
"ALG2",-0.878880718
"ALG9",-1.42590755
"ALK",0.155006597
"ALKBH4",-0.331966951
"ALMS1",0.994534226
"ALOX15B",0.499328849
"ALOX5AP",-0.292637274
"ALOXE3",-0.164535797
"ALPI",-0.162839476
"ALS2CR13",-0.291426703
"ALS2CR8",0.146009683
"ALX3",-0.409495862
"AMAC1L2",-0.158094453
"AMACR",-0.605057665
"AMH",0.313321994
"AMIGO2",-2.004369653
"AMOT",-0.552025992
"AMOTL2",-0.188214423
"AMPD3",0.801706012
"AMT",-0.146069171
"AMZ1",0.042454094
"ANAPC1",-0.245871385
"ANAPC11",-0.207678627
"ANAPC13",0.067450861
"ANAPC5",-0.176875401
"ANAPC7",-0.660227015
"ANG",0.703023711
"ANGPTL4",-0.429031131
"ANK3",-0.522408266
"ANKDD1A",0.151415088
"ANKH",-0.252230182
"ANKHD1",-0.12915801
"ANKMY2",0.022036069
"ANKRD1",0.114216321
"ANKRD10",0.107195675
"ANKRD12",-0.067848642
"ANKRD13A",-0.192930322
"ANKRD15",-0.223974782
"ANKRD17",0.655646381
"ANKRD22",-0.603181417
"ANKRD28",-0.247769359
"ANKRD30A",0.137880032
"ANKRD40",-0.423562332
"ANKRD43",-0.124622752
"ANKRD47",0.28183132
"ANKRD49",-0.136095034
"ANKRD57",-0.44103419
"ANLN",0.844779244
"ANP32A",-1.453259719
"ANTXR2",-0.049499242
"ANXA1",-0.115812734
"ANXA11",0.238302486
"ANXA2P1",0.163345786
"ANXA3",0.178808221
"ANXA4",-0.040013023
"ANXA5",0.067952674
"ANXA8",-0.076370535
"ANXA9",4.915394923
"AOF1",-0.310805624
"AOF2",-1.228135948
"AP1GBP1",-0.15007622
"AP1M1",2.43291581
"AP2S1",-0.101275454
"AP3D1",-0.154997659
"AP3M2",-0.401329021
"AP4B1",0.057471626
"AP4M1",0.013215199
"AP4S1",0.066823888
"APBA2",-0.638037716
"APBB1",-0.01958091
"APBB2",0.026068453
"APCDD1",1.634340464
"APEH",0.708475513
"APLN",-0.152108318
"APLP2",0.870953421
"APOA1BP",0.074318737
"APOA4",-0.169366861
"APOBEC3A",0.581767497
"APOBEC3B",-0.383484591
