"Gene","JUNB"
"A2ML1",2.258629791
"AACS",0.219524325
"AADACL1",-0.219125234
"AADAT",0.211022721
"AARS",-2.467250113
"AASDH",0.144314247
"AASS",0.332673915
"AATF",0.410499825
"AATK",0.278196042
"ABAT",3.946338614
"ABCA1",-0.28214405
"ABCA12",-2.774754594
"ABCA2",-0.2268565
"ABCA5",1.549589191
"ABCC4",0.311357072
"ABCG1",-0.440517512
"ABCG4",0.191612907
"ABHD1",-0.377980793
"ABHD10",0.257001389
"ABHD11",-0.058566715
"ABHD3",-0.283646453
"ABHD6",-2.700278068
"ABHD7",-0.200635056
"ABHD9",0.335229507
"ABI1",0.838614922
"ABI2",0.197057546
"ABI3",-0.02775895
"ABL1",0.065989818
"ABL2",-0.242826012
"ABLIM1",0.036385238
"ABLIM2",-0.388530587
"ABLIM3",-0.003605127
"ABO",-0.418729972
"ABR",-0.285641914
"ABRA",-0.146630224
"ABT1",0.28494018
"ACAA1",2.335767328
"ACAA2",-3.205977438
"ACAD8",0.123407301
"ACBD3",-0.317387384
"ACBD5",0.257017312
"ACBD6",0.028072572
"ACBD7",-1.770322074
"ACE",-0.525026463
"ACE2",-0.198293077
"ACN9",0.343777348
"ACO1",-0.333118437
"ACOT8",-1.497407591
"ACOT9",0.162973995
"ACOX1",2.006461084
"ACP1",0.116914618
"ACP2",-0.103353923
"ACPP",0.067188166
"ACRV1",-0.419604966
"ACSL1",-0.177562836
"ACSL3",-0.599386819
"ACSL6",-0.091443035
"ACSS2",-0.268227651
"ACTA1",0.128806178
"ACTA2",0.113736116
"ACTG2",-0.452500248
"ACTL6A",-0.136780313
"ACTL6B",-0.734105441
"ACTL7B",-0.291200957
"ACTR3",-0.005537747
"ACTR3B",-0.729776521
"ACTR5",-0.191248644
"ACTR8",0.060058222
"ACVR1",-0.028834257
"ACVR1B",-0.689438534
"ACVR2B",-0.256458165
"ACVRL1",-0.533873435
"ADA",-0.006473945
"ADAM33",-0.340036036
"ADAM9",-6.602771657
"ADAMDEC1",-0.378034466
"ADAMTS1",-0.326706977
"ADAMTS3",-0.182780049
"ADAMTS6",0.041094262
"ADAMTS9",-0.025003873
"ADAMTSL1",-0.159875901
"ADAMTSL3",0.243641579
"ADAMTSL4",-0.193796824
"ADARB1",-0.835112688
"ADC",-0.380882752
"ADCK1",-0.147310657
"ADCK2",0.277088847
"ADCY2",-0.192634269
"ADCY3",-0.370949659
"ADD1",-0.570264434
"ADD3",0.167253668
"ADM",-0.128463787
"ADNP",-0.689350203
"ADORA2A",-1.068327505
"ADPRH",-0.363741069
"ADRB1",-0.204421791
"ADRB2",-0.303689012
"ADRBK1",-0.742953707
"ADRM1",3.133630449
"ADSSL1",0.219025221
"AEBP1",0.670399088
"AEBP2",-0.23996586
"AES",-0.630723111
"AFAR3",0.646917253
"AFF1",0.218572613
"AFF3",-0.344255497
"AFF4",-0.010905517
"AGER",-0.784173043
"AGGF1",0.469705469
"AGPAT3",-0.161171592
"AGPAT6",0.088798678
"AGR2",-0.723369768
"AGRIN",-0.353248902
"AGRP",-0.430836317
"AGT",-0.129048217
"AGTR1",-0.208882361
"AGXT2L2",-0.489929001
"AHCTF1",-1.155454707
"AHCY",-0.029497014
"AHCYL1",0.363165988
"AHDC1",-1.1131704
"AHR",-0.264058955
"AHRR",0.131354117
"AIFM3",-0.01493495
"AIG1",-0.065457445
"AIM1",-0.343738068
"AIM1L",0.653259454
"AIP",0.89506151
"AIRE",-0.120312355
"AJAP1",0.677085913
"AK2",1.001491983
"AK3",0.083622727
"AK5",0.253858747
"AKAP12",-0.64988008
"AKAP13",-0.892086614
"AKAP7",0.033326252
"AKAP8L",-0.480955887
"AKAP9",-1.338250532
"AKNA",0.024359503
"AKR1A1",0.102551426
"AKR1C1",-0.266752898
"AKR1C3",-1.159747224
"AKT3",-0.127315044
"ALDH1A3",0.723940647
"ALDH1B1",-0.611122773
"ALDH1L2",-0.026038353
"ALDH3A1",0.590708738
"ALDH3A2",-0.410064115
"ALDH3B2",-0.484515435
"ALDH4A1",-0.541685778
"ALDH6A1",-0.01577527
"ALDH7A1",-0.260023474
"ALDH9A1",-1.033941042
"ALG13",5.406408263
"ALG2",0.454957296
"ALG9",-1.718046895
"ALK",-0.140653459
"ALKBH4",-0.547626575
"ALMS1",1.495956028
"ALOX15B",-0.322501077
"ALOX5AP",0.054754982
"ALOXE3",-0.279432527
"ALPI",-0.057220744
"ALS2CR13",-0.04526567
"ALS2CR8",0.260931747
"ALX3",-0.712340335
"AMAC1L2",-0.231817579
"AMACR",-0.302767778
"AMH",-0.023569802
"AMIGO2",-2.769728096
"AMOT",0.507198162
"AMOTL2",0.057007574
"AMPD3",1.87010145
"AMT",0.014757425
"AMZ1",0.144459724
"ANAPC1",-0.232983823
"ANAPC11",-0.051863209
"ANAPC13",0.55238939
"ANAPC5",0.113281486
"ANAPC7",-0.15476385
"ANG",0.425281915
"ANGPTL4",1.310465041
"ANK3",-2.783416266
"ANKDD1A",0.191154786
"ANKH",-0.127246016
"ANKHD1",-0.385172508
"ANKMY2",0.675970624
"ANKRD1",-0.165080865
