"Gene","JUND"
"A2ML1",0.134346065
"AACS",-0.165084318
"AADACL1",-1.503611645
"AADAT",0.227519767
"AARS",2.004959305
"AASDH",0.378286202
"AASS",0.766981996
"AATF",0.231362861
"AATK",0.388571455
"ABAT",3.125025826
"ABCA1",-0.252669412
"ABCA12",0.550973309
"ABCA2",-0.302029981
"ABCA5",1.824848283
"ABCC4",-0.097839016
"ABCG1",-0.300706031
"ABCG4",-0.043587452
"ABHD1",-0.379238649
"ABHD10",0.302177839
"ABHD11",-0.233107619
"ABHD3",-0.139476829
"ABHD6",2.15830452
"ABHD7",0.166677264
"ABHD9",0.566852375
"ABI1",-1.778608246
"ABI2",1.201881132
"ABI3",-0.092755051
"ABL1",-0.150651252
"ABL2",0.396001841
"ABLIM1",0.329683713
"ABLIM2",0.572508131
"ABLIM3",0.393028914
"ABO",-0.823324021
"ABR",-0.320482871
"ABRA",-0.139688241
"ABT1",-0.307924432
"ACAA1",1.226703931
"ACAA2",-2.530322027
"ACAD8",0.380705856
"ACBD3",0.552503028
"ACBD5",0.060918434
"ACBD6",-0.146778092
"ACBD7",-3.199825903
"ACE",-0.328644283
"ACE2",0.245121534
"ACN9",1.085387356
"ACO1",-0.108978803
"ACOT8",-0.926287157
"ACOT9",-0.849911202
"ACOX1",3.132899013
"ACP1",-0.101567004
"ACP2",-0.343721683
"ACPP",-0.127772602
"ACRV1",-0.415021262
"ACSL1",-0.108169729
"ACSL3",-0.934263583
"ACSL6",-0.040612668
"ACSS2",2.322699965
"ACTA1",-0.18219631
"ACTA2",1.077601663
"ACTG2",-1.387738487
"ACTL6A",-0.075379648
"ACTL6B",-0.790021275
"ACTL7B",-0.211611421
"ACTR3",-0.058993649
"ACTR3B",0.192234855
"ACTR5",0.109269124
"ACTR8",0.080605408
"ACVR1",-0.115595033
"ACVR1B",-0.811129238
"ACVR2B",-0.245185652
"ACVRL1",-0.402851174
"ADA",-0.118853836
"ADAM33",-0.305959502
"ADAM9",-6.247885458
"ADAMDEC1",-0.590962889
"ADAMTS1",2.618643018
"ADAMTS3",-0.17811655
"ADAMTS6",0.35976235
"ADAMTS9",0.332458429
"ADAMTSL1",-0.046100775
"ADAMTSL3",0.340763518
"ADAMTSL4",0.031456399
"ADARB1",0.050040974
"ADC",-0.035751854
"ADCK1",-0.243696517
"ADCK2",-0.478208845
"ADCY2",-0.055491904
"ADCY3",1.072692546
"ADD1",-0.327067545
