"","x"
"1","A14GALT"
"2","A1BG"
"3","A1CF"
"4","A225490"
"5","A2BP1"
"6","A2LD1"
"7","A2LP"
"8","A2M"
"9","A2ML1"
"10","A4GALT"
"11","A4GNT"
"12","A533284"
"13","A746290"
"14","A748492"
"15","A836114"
"16","AA150211"
"17","AA442488"
"18","AA541413"
"19","AA666384"
"20","AA837799"
"21","AA968804"
"22","AAAS"
"23","AACS"
"24","AADAC"
"25","AADACL1"
"26","AADACL2"
"27","AADACL3"
"28","AADACL4"
"29","AADAT"
"30","AAED1"
"31","AAGAB"
"32","AAMDC"
"33","AAMP"
"34","AANAT"
"35","AAR2"
"36","AARD"
"37","AARS"
"38","AARS2"
"39","AARSD1"
"40","AASDH"
"41","AASDHPPT"
"42","AASS"
"43","AATF"
"44","AATK"
"45","AB019568"
"46","AB062480"
"47","AB371542"
"48","ABAT"
"49","ABCA1"
"50","ABCA10"
"51","ABCA12"
"52","ABCA13"
"53","ABCA2"
"54","ABCA3"
"55","ABCA4"
"56","ABCA5"
"57","ABCA6"
"58","ABCA7"
"59","ABCA8"
"60","ABCA9"
"61","ABCB1"
"62","ABCB10"
"63","ABCB11"
"64","ABCB3"
"65","ABCB4"
"66","ABCB5"
"67","ABCB6"
"68","ABCB7"
"69","ABCB8"
"70","ABCB9"
"71","ABCC1"
"72","ABCC10"
"73","ABCC11"
"74","ABCC12"
"75","ABCC3"
"76","ABCC4"
"77","ABCC5"
"78","ABCC6"
"79","ABCC8"
"80","ABCC9"
"81","ABCD1"
"82","ABCD2"
"83","ABCD3"
"84","ABCD4"
"85","ABCE1"
"86","ABCF1"
"87","ABCF2"
"88","ABCF3"
"89","ABCG1"
"90","ABCG2"
"91","ABCG4"
"92","ABCG5"
"93","ABCG8"
"94","ABCR"
"95","ABF-1"
"96","ABHD1"
"97","ABHD10"
"98","ABHD11"
"99","ABHD12"
"100","ABHD12B"
"101","ABHD13"
"102","ABHD14A"
"103","ABHD14A-ACY1"
"104","ABHD14B"
"105","ABHD15"
"106","ABHD16A"
"107","ABHD16B"
"108","ABHD17A"
"109","ABHD17B"
"110","ABHD17C"
"111","ABHD18"
"112","ABHD2"
"113","ABHD3"
"114","ABHD4"
"115","ABHD5"
"116","ABHD6"
"117","ABHD7"
"118","ABHD8"
"119","ABHD9"
"120","ABI1"
"121","ABI2"
"122","ABI2B"
"123","ABI3"
"124","ABI3BP"
"125","ABL1"
"126","ABL2"
"127","AblBP3"
"128","ABLIM1"
"129","ABLIM2"
"130","ABLIM3"
"131","ABO"
"132","ABP1"
"133","abp620"
"134","ABPZF"
"135","ABR"
"136","ABRA"
"137","ABRACL"
"138","ABS"
"139","ABT1"
"140","ABTB1"
"141","ABTB2"
"142","AC-III"
"143","ACAA1"
"144","ACAA2"
"145","ACACA"
"146","ACACB"
"147","ACAD10"
"148","ACAD11"
"149","ACAD8"
"150","ACAD9"
"151","ACADL"
"152","ACADM"
"153","ACADS"
"154","ACADSB"
"155","ACADVL"
"156","ACAN"
"157","ACAP1"
"158","ACAP2"
"159","ACAP3"
"160","ACAT1"
"161","ACAT2"
"162","ACBD3"
"163","ACBD4"
"164","ACBD5"
"165","ACBD6"
"166","ACBD7"
"167","ACBP"
"168","ACCN1"
"169","ACCN2"
"170","ACCN3"
"171","ACCS"
"172","ACCSL"
"173","ACD"
"174","ACDP2"
"175","ACE"
"176","ACE2"
"177","ACER1"
"178","ACER2"
"179","ACER3"
"180","ACF"
"181","ACF7"
"182","ACHE"
"183","ACHR"
"184","ACIN1"
"185","ACKR1"
"186","ACKR2"
"187","ACKR3"
"188","ACKR4"
"189","ACLY"
"190","ACMSD"
"191","ACN9"
"192","ACO"
"193","ACO1"
"194","ACO2"
"195","ACOD1"
"196","ACON"
"197","ACOT1"
"198","ACOT11"
"199","ACOT12"
"200","ACOT13"
"201","ACOT2"
"202","ACOT4"
"203","ACOT6"
"204","ACOT7"
"205","ACOT8"
"206","ACOT9"
"207","ACOX1"
"208","ACOX2"
"209","ACOX3"
"210","ACOXL"
"211","ACP1"
"212","ACP2"
"213","ACP33"
"214","ACP5"
"215","ACP6"
"216","ACP7"
"217","ACPP"
"218","ACPT"
"219","ACR"
"220","ACRBP"
"221","ACRC"
"222","ACRV1"
"223","ACSBG1"
"224","ACSBG2"
"225","ACSF2"
"226","ACSF3"
"227","ACSL1"
"228","ACSL3"
"229","ACSL4"
"230","ACSL5"
"231","ACSL6"
"232","ACSM1"
"233","ACSM2A"
"234","ACSM2B"
"235","ACSM3"
"236","ACSM4"
"237","ACSM5"
"238","ACSM6"
"239","ACSS1"
"240","ACSS2"
"241","ACSS3"
"242","ACT"
"243","ACTA1"
"244","ACTA2"
"245","ACTB"
"246","ACTBL2"
"247","ACTC1"
"248","ACTG1"
"249","ACTG2"
"250","ACTL10"
"251","ACTL6A"
"252","ACTL6B"
"253","ACTL7A"
"254","ACTL7B"
"255","ACTL8"
"256","ACTL9"
"257","ACTN1"
"258","ACTN2"
"259","ACTN3"
"260","ACTN4"
"261","ACTR10"
"262","ACTR1A"
"263","ACTR1B"
"264","ACTR2"
"265","ACTR3"
"266","ACTR3B"
"267","ACTR3C"
"268","ACTR5"
"269","ACTR6"
"270","ACTR8"
"271","ACTRT1"
"272","ACTRT2"
"273","ACTRT3"
"274","ACVR1"
"275","ACVR1B"
"276","ACVR1C"
"277","ACVR2A"
"278","ACVR2B"
"279","ACVRL1"
"280","ACY1"
"281","ACY3"
"282","ACYP1"
"283","ACYP2"
"284","AD013"
"285","AD023"
"286","AD3LPAD5"
"287","AD7C-NTP"
"288","ADA"
"289","ADAD1"
"290","ADAD2"
"291","ADAL"
"292","ADAM10"
"293","ADAM11"
"294","ADAM12"
"295","ADAM15"
"296","ADAM17"
"297","ADAM18"
"298","ADAM19"
"299","ADAM2"
"300","ADAM20"
"301","ADAM21"
"302","ADAM22"
"303","ADAM23"
"304","ADAM28"
"305","ADAM29"
"306","ADAM30"
"307","ADAM32"
"308","ADAM33"
"309","ADAM3A"
"310","ADAM5"
"311","ADAM7"
"312","ADAM8"
"313","ADAM9"
"314","ADAMDEC1"
"315","ADAMTS1"
"316","ADAMTS10"
"317","ADAMTS12"
"318","ADAMTS13"
"319","ADAMTS14"
"320","ADAMTS15"
"321","ADAMTS16"
"322","ADAMTS17"
"323","ADAMTS18"
"324","ADAMTS19"
"325","ADAMTS2"
"326","ADAMTS3"
"327","ADAMTS4"
"328","ADAMTS5"
"329","ADAMTS6"
"330","ADAMTS7"
"331","ADAMTS8"
"332","ADAMTS9"
"333","ADAMTSL1"
"334","ADAMTSL2"
"335","ADAMTSL3"
"336","ADAMTSL4"
"337","ADAMTSL5"
"338","ADAP1"
"339","ADAP2"
"340","ADAR"
"341","ADAR3"
"342","ADARB1"
"343","ADARB2"
"344","ADAT1"
"345","ADAT2"
"346","ADAT3"
"347","ADC"
"348","ADCK1"
"349","ADCK2"
"350","ADCK5"
"351","ADCY1"
"352","ADCY10"
"353","ADCY2"
"354","ADCY3"
"355","ADCY4"
"356","ADCY5"
"357","ADCY6"
"358","ADCY7"
"359","ADCY8"
"360","ADCY9"
"361","ADCYAP1"
"362","ADCYAP1R1"
"363","ADD1"
"364","ADD2"
"365","ADD3"
"366","ADGB"
"367","ADGRA1"
"368","ADGRA2"
"369","ADGRA3"
"370","ADGRB1"
"371","ADGRB2"
"372","ADGRB3"
"373","ADGRD1"
"374","ADGRD2"
"375","ADGRE1"
"376","ADGRE2"
"377","ADGRE3"
"378","ADGRE5"
"379","ADGRF1"
"380","ADGRF2"
"381","ADGRF3"
"382","ADGRF4"
"383","ADGRF5"
"384","ADGRG1"
"385","ADGRG2"
"386","ADGRG3"
"387","ADGRG4"
"388","ADGRG5"
"389","ADGRG7"
"390","ADGRL1"
"391","ADGRL2"
"392","ADGRL3"
"393","ADGRL4"
"394","ADGRV1"
"395","ADH1"
"396","ADH1A"
"397","ADH1B"
"398","ADH1C"
"399","ADH2"
"400","ADH4"
"401","ADH5"
"402","ADH6"
"403","ADH7"
"404","ADHFE1"
"405","ADI1"
"406","ADIG"
"407","ADIPOQ"
"408","ADIPOR1"
"409","ADIPOR2"
"410","ADIR"
"411","ADIRF"
"412","ADK"
"413","adk2"
"414","ADM"
"415","ADM2"
"416","ADM5"
"417","ADMR"
"418","ADNP"
"419","ADNP2"
"420","ADO"
"421","ADORA1"
"422","ADORA2A"
"423","ADORA2B"
"424","ADPGK"
"425","ADPRH"
"426","ADPRHL1"
"427","ADPRHL2"
"428","ADPRM"
"429","ADPRT3"
"430","ADRA1A"
"431","ADRA1B"
"432","ADRA1D"
"433","ADRA2B"
"434","ADRA2C"
"435","ADRB1"
"436","ADRB2"
"437","ADRB3"
"438","ADRBK1"
"439","ADRM1"
"440","ADSL"
"441","ADSS"
"442","ADSSL1"
"443","ADTRP"
"444","AEBP1"
"445","AEBP2"
"446","AEGL1"
"447","AEN"
"448","AES"
"449","AF009267"
"450","AF010144"
"451","AF011757"
"452","AF026246"
"453","AF037219"
"454","AF038169"
"455","AF053356-CDS2"
"456","AF053356_CDS3"
"457","AF060862"
"458","AF072164"
"459","AF086044"
"460","AF086205"
"461","AF086216"
"462","AF086321"
"463","AF086429"
"464","AF086536"
"465","AF086551"
"466","AF086790"
"467","AF090926"
"468","AF090930"
"469","AF093680"
"470","AF10"
"471","AF10CALM"
"472","AF116619"
"473","AF116642"
"474","AF116667"
"475","AF116688"
"476","AF116719"
"477","AF119852"
"478","AF119913"
"479","AF130099"
"480","AF131762"
"481","AF131782"
"482","AF140225"
"483","AF143879"
"484","AF144054"
"485","AF15Q14"
"486","AF227517"
"487","AF241539"
"488","AF289610"
"489","AF289615"
"490","AF311304"
"491","AF318321"
"492","AF351612"
"493","AF3P21"
"494","AF531436"
"495","AF5Q31"
"496","AFAP1"
"497","AFAP1L1"
"498","AFAP1L2"
"499","AFAR3"
"500","AFDN"
"501","AFF1"
"502","AFF2"
"503","AFF3"
"504","AFF4"
"505","AFG3L2"
"506","AFM"
"507","AFMID"
"508","AFP"
"509","AFTPH"
"510","AGA"
"511","AGAP1"
