"Gene","KLF4a"
"A2ML1",-0.317675822
"AACS",0.131137746
"AADACL1",-0.608572601
"AADAT",0.164091471
"AARS",0.637327319
"AASDH",0.26428034
"AASS",0.124676943
"AATF",0.071517126
"AATK",0.219805861
"ABAT",-5.070597749
"ABCA1",-0.268655535
"ABCA12",0.097405156
"ABCA2",-0.291719034
"ABCA5",0.118379214
"ABCC4",0.137575277
"ABCG1",0.420872874
"ABCG4",0.01780811
"ABHD1",-0.461064608
"ABHD10",0.22023808
"ABHD11",-0.278107784
"ABHD3",0.039975555
"ABHD6",-1.290206029
"ABHD7",-0.137705249
"ABHD9",0.021553025
"ABI1",0.534203321
"ABI2",-0.567240327
"ABI3",-0.032962671
"ABL1",-0.15221937
"ABL2",-0.044329593
"ABLIM1",0.22880705
"ABLIM2",0.034117056
"ABLIM3",-0.012980745
"ABO",-0.819085272
"ABR",0.139196369
"ABRA",-0.217948209
"ABT1",0.109780447
"ACAA1",0.621230089
"ACAA2",-0.897840345
"ACAD8",0.642315484
"ACBD3",-0.071576109
"ACBD5",0.051371888
"ACBD6",0.0200635
"ACBD7",-1.311648456
"ACE",-0.226577002
"ACE2",-0.03973597
"ACN9",0.41144774
"ACO1",0.043481214
"ACOT8",-1.0830873
"ACOT9",0.855068638
"ACOX1",-2.815352338
"ACP1",-0.310575272
"ACP2",-0.421835463
"ACPP",0.505207021
"ACRV1",-0.502856207
"ACSL1",-1.000403794
"ACSL3",0.209051729
"ACSL6",0.002878883
"ACSS2",0.360985148
"ACTA1",-0.707398509
"ACTA2",0.381096537
"ACTG2",-0.308666495
"ACTL6A",-0.147323826
"ACTL6B",-0.571832509
"ACTL7B",-0.120687953
"ACTR3",0.207512034
"ACTR3B",-0.006683366
"ACTR5",0.021803312
"ACTR8",0.092081631
"ACVR1",-0.173413477
"ACVR1B",-0.521941389
"ACVR2B",-0.298842675
"ACVRL1",-0.433329375
"ADA",-0.400335682
"ADAM33",-0.534655467
"ADAM9",-5.076674362
"ADAMDEC1",-0.473299945
"ADAMTS1",-0.486923285
"ADAMTS3",-0.109981362
"ADAMTS6",-0.106273999
"ADAMTS9",-0.084514844
"ADAMTSL1",-0.225884904
"ADAMTSL3",-0.117530843
"ADAMTSL4",-0.327309746
"ADARB1",2.146511598
"ADC",0.233310583
"ADCK1",0.018324682
"ADCK2",-0.053389744
"ADCY2",-0.241704433
"ADCY3",-0.109698553
"ADD1",-0.29931255
"ADD3",0.117629745
"ADM",0.151740393
"ADNP",0.434762157
"ADORA2A",-1.311771905
"ADPRH",-0.279802303
"ADRB1",-0.15926958
"ADRB2",0.239517222
"ADRBK1",-0.480611396
"ADRM1",0.185552408
"ADSSL1",0.026116939
"AEBP1",-0.032771579
"AEBP2",-0.279278975
"AES",1.724936691
"AFAR3",0.404754878
"AFF1",-0.071383531
"AFF3",-0.336908165
"AFF4",-0.04837289
"AGER",-0.946579594
"AGGF1",0.526696536
"AGPAT3",0.064385054
"AGPAT6",0.754758777
"AGR2",-0.203154724
"AGRIN",-3.792065077
"AGRP",-0.499191661
"AGT",-0.213003739
"AGTR1",-0.29030527
"AGXT2L2",-0.212164185
"AHCTF1",-0.710507484
"AHCY",-0.041331314
"AHCYL1",-0.008967607
"AHDC1",-0.865716347
"AHR",-1.474807237
"AHRR",0.200757812
"AIFM3",-0.080249199
"AIG1",-0.58807489
"AIM1",-0.045654794
"AIM1L",0.637144977
"AIP",0.187638158
"AIRE",-0.152788429
"AJAP1",0.621528469
"AK2",-0.020715603
"AK3",-0.005058955
"AK5",0.196855359
"AKAP12",-0.503219759
"AKAP13",-0.481006575
"AKAP7",-0.052487288
"AKAP8L",-0.109203073
"AKAP9",-0.543124534
"AKNA",-0.081685201
"AKR1A1",-0.234397262
"AKR1C1",0.224504041
"AKR1C3",0.694625398
"AKT3",-0.038320775
"ALDH1A3",-0.197678095
"ALDH1B1",-0.415251953
"ALDH1L2",0.126221903
"ALDH3A1",0.273150166
"ALDH3A2",0.219963363
"ALDH3B2",-0.159192563
"ALDH4A1",0.920932913
"ALDH6A1",0.24117428
"ALDH7A1",-0.413027689
"ALDH9A1",-1.899805138
"ALG13",-1.179431419
"ALG2",0.600032989
"ALG9",0.775873192
"ALK",-0.218155553
"ALKBH4",-0.264647857
"ALMS1",0.435200271
"ALOX15B",-0.172666169
"ALOX5AP",-0.503437927
"ALOXE3",-0.243846326
"ALPI",-0.425389099
"ALS2CR13",0.017353443
"ALS2CR8",0.076315767
"ALX3",-0.676980548
"AMAC1L2",-0.255735061
"AMACR",-0.335777871
"AMH",-0.113674694
"AMIGO2",-0.319196503
"AMOT",0.093149805
"AMOTL2",0.068344204
"AMPD3",0.48207172
"AMT",0.222497453
"AMZ1",-0.148664362
"ANAPC1",0.029835638
"ANAPC11",0.019730167
"ANAPC13",-0.134184491
"ANAPC5",0.146017616
"ANAPC7",0.243881091
"ANG",0.720765886
"ANGPTL4",-0.864060799
"ANK3",-0.720540626
"ANKDD1A",0.029053103
"ANKH",-0.076159989
"ANKHD1",1.06739695
"ANKMY2",0.110168462
"ANKRD1",-0.234997683
"ANKRD10",0.251152271
"ANKRD12",-0.11051038
"ANKRD13A",-0.069853173
"ANKRD15",-0.065147917
"ANKRD17",2.360948894
"ANKRD22",-0.041675414
"ANKRD28",0.012942669
"ANKRD30A",-0.219944968
"ANKRD40",0.075308579
"ANKRD43",-0.641074679
"ANKRD47",0.017261016
"ANKRD49",0.858423987
"ANKRD57",-1.500130505
"ANLN",-0.608966699
"ANP32A",-2.524044652
"ANTXR2",0.228198663
"ANXA1",-0.194464684
"ANXA11",0.176508397
"ANXA2P1",-0.089092383
"ANXA3",-0.025524849
"ANXA4",0.20149249
"ANXA5",-0.197437479
"ANXA8",0.033065021
"ANXA9",0.218575336
"AOF1",-0.094909714
"AOF2",3.612564601
"AP1GBP1",-0.000785191
"AP1M1",0.682685399
"AP2S1",0.289926081
"AP3D1",0.38246037
"AP3M2",0.02424694
"AP4B1",0.04469992
"AP4M1",-0.128392955
"AP4S1",-0.025988536
"APBA2",-0.140623648
"APBB1",-0.352121043
"APBB2",0.507648815
"APCDD1",-0.524740722
"APEH",0.737737786
"APLN",0.778583901
"APLP2",-0.502205644
"APOA1BP",0.352775527
"APOA4",-0.529758011
"APOBEC3A",0.189894798
"APOBEC3B",0.693000614
"APOBEC3C",0.298261166
"APOBEC3F",0.3045436
"APOBEC3G",0.655649232
"APOC1",0.678862566
"APOC3",-0.603851212
"APOC4",-0.346376408
"APOE",0.223623586
"APOL6",0.172245273
"APP",-2.03051767
"APPBP2",0.058303301
"AQP12A",-0.228798483
"AQP2",-0.811848808
"AQP3",-0.281854718
"AQP6",0.202020223
"AQP9",-0.17044782
"AR",-0.040507972
"AREG",0.069814686
"ARF4",-0.047279993
"ARF6",-0.814609632
"ARFGEF1",-1.299716319
"ARFGEF2",-0.166048694
"ARHGAP11A",0.034059639
"ARHGAP12",-0.622903907
"ARHGAP18",1.515440794
"ARHGAP21",0.060495044
"ARHGAP22",0.056778902
"ARHGAP24",0.095271016
"ARHGAP25",0.606523786
"ARHGAP5",-0.203521984
"ARHGAP9",-0.418719052
"ARHGDIG",-0.349492264
"ARHGEF1",0.010330846
"ARHGEF10",0.178337237
"ARHGEF11",-0.21709103
"ARHGEF12",-0.132115556
"ARHGEF16",-0.29147384
"ARHGEF18",-0.081408919
"ARHGEF19",4.934110782
"ARHGEF2",0.767322242
"ARHGEF4",-0.326366312
"ARHGEF5",-0.847358651
"ARID1A",-0.415960121
"ARID1B",-0.003352308
"ARID2",0.15497711
"ARID3A",-0.30641923
"ARID3B",-0.37864956
"ARID4A",0.067628074
"ARID4B",-0.069713548
"ARID5A",-0.178501407
"ARID5B",-0.450176155
"ARIH1",0.328829389
"ARL13B",-0.047532918
"ARL15",-0.128046716
"ARL2",0.330276979
"ARL4A",-0.339493151
"ARL4C",2.969655512
"ARL6IP4",0.099288146
"ARL6IP5",0.599034695
"ARL8A",-0.437081118
"ARL8B",-0.142751927
"ARMC6",2.685223921
"ARMC8",0.087256565
"ARMC9",0.039724979
"ARMCX1",-0.0841015
"ARMCX2",-0.34035172
"ARMET",-0.079241777
"ARNT",-0.141861061
"ARNT2",0.08072882
"ARNTL",1.781208765
"ARNTL2",2.449005211
"ARPM1",-0.279096131
"ARRB1",-0.093515864
"ARRB2",-7.07663471
"ARRDC1",-0.285522952
"ARRDC3",0.538247187
"ARRDC4",4.82031083
"ARSD",-0.786527035
"ARSI",-0.253412547
"ART1",-0.069139272
"ARTS-1",0.354714129
"ARV1",-0.285174893
"ARX",-0.109204103
"AS3MT",-0.083094343
"ASAHL",-0.267200745
"ASAM",0.089721763
"ASB1",-0.614195359
"ASB13",0.297369752
"ASB16",-0.799338053
"ASB3",1.694710205
"ASB8",0.173191428
"ASCC1",1.462153126
"ASCC2",-0.383522389
"ASCC3",0.05377478
"ASCL1",-0.555819262
"ASCL2",-0.213430406
"ASCL3",-0.524871568
"ASCL5",-1.142213407
"ASF1A",0.210282062
"ASF1B",0.891891999
"ASGR2",-0.231330972
"ASH1L",-0.621222865
"ASH2L",-0.765263446
"ASL",-3.74969494
