Gene,Trial_Gene
CTRC,0.007480122
LOC58504,0.013469007
TED,0.194331592
PTHLH,0.028033429
TEC,0.038931479
NUDT4,-0.124100782
NUDT4,0.036186038
MYBPH,0.206349565
C8A,0.004270988
RYR3,-0.206361583
FOXD1,-0.239228511
CHM-I,-0.05319256
SPINK2,-0.027277845
PLA2G1B,-0.009158593
GUCY2C,0.006942802
HLA-DNA,-0.015398123
ZFP,-0.354141094
CRLF1,0.069680891
KIAA0166,-0.047267964
ABCB8,0.009001464
EPPIN3,0.294413852
EPPIN1,0.000482251
MADH9,0.019220187
RFX1,0.079557369
SYN3,0.000657772
OPHN1,0.0027981
DAPK2,-0.028100601
SERPINA6,-0.027689426
GRP,0.167298423
CDH15,0.008029997
CDH15,0.084084113
EXTL1,-0.00350781
SHC3,0.014166151
CALCRL,0.04416491
IFI16,-0.004020232
MSI1,-0.014749683
LIPF,-0.025346651
GALNS,-0.056266933
SCYB6,0.592917438
CCR7,0.001085056
ELAVL3,0.100930982
CART,0.033821638
NR1H4,-0.529014386
IL2RA,0.026835772
IDS,-0.117965349
NRG1,0.014191129
PON1,-0.011346792
PRLR,0.001780416
PDK3,-0.260521723
PDK3,-0.064171186
LGI1,0.28741264
APCS,-0.033731596
PEX10,-0.008406135
PEX10,-0.002773099
COX6A2,0.073367642
SLC21A8,-0.036904879
GNAL,-0.036804811
FLJ22187,0.019295483
PRM1,-0.042513434
SSI-3,0.010079743
GPR44,0.022873478
MAP3K10,0.016031284
MAF,3.586938286
KIAA0042,-0.733737422
SCYC1,0.010276312
REN,0.037932823
CPLX2,0.118027508
PI3CG,0.002628157
PIK3CG,0.019359346
FOLR3,0.166133639
MYF6,-0.090236248
ZIC1,0.011531901
DUSP8,0.241379874
HSPB3,-0.055280325
FLJ10316,-0.024865714
FOXF2,0.056937988
MGB1,-0.035344571
EYA3,-0.060964427
PFC,0.001779756
SCN2A2,0.052023934
BDNF,0.022662113
KIAA0660,-0.003811941
CACNG3,0.170295672
ANK3,0.012888385
SERPINA7,-0.191776631
PDE3A,0.01233656
PF4,0.010324763
RARRES1,0.032211339
RARRES1,0.01531475
TNNI2,-0.093253553
MYBPC2,-0.039170881
DGKG,-0.056615015
SLC1A1,-0.036102467
GDF1,-0.012233976
CD19,0.005174014
CACNA1A,0.00476914
LGALS7,0.033428627
