"Gene","MAFB1"
"A14GALT",-0.1679
"A1BG",0
"A1CF",0
"A225490",-0.0735
"A2BP1",-0.0513
"A2LD1",0
"A2LP",-0.0748
"A2M",-0.0269
"A2ML1",0
"A4GALT",0
"A4GNT",0
"A533284",-0.0928
"A746290",-0.0408
"A748492",0.0572
"A836114",0.0343
"AA150211",0
"AA442488",0
"AA541413",0
"AA666384",0
"AA837799",0
"AA968804",0
"AAAS",-0.1122
"AACS",0
"AADAC",0
"AADACL1",0
"AADACL2",0
"AADACL3",0
"AADACL4",0
"AADAT",0
"AAED1",0
"AAGAB",0
"AAMDC",0
"AAMP",0
"AA0.0T",0.0359
"AAR2",0
"AARD",0
"AARS",0
"AARS2",0
"AARSD1",0
"AASDH",0
"AASDH",0
"AASDH",0
"AASDHPPT",0
"AASS",0
"AATF",0
"AATF",0
"AATK",0
"AATK",0
"AB019568",0
"AB062480",0
"AB371542",0
"ABAT",-0.0248
"ABCA1",0
"ABCA1",0
"ABCA10",0
"ABCA12",0
"ABCA13",0
"ABCA2",-0.0412
"ABCA3",0
"ABCA4",0
"ABCA5",0
"ABCA5",0
"ABCA6",0
"ABCA7",-0.0729
"ABCA8",0
"ABCA9",0
"ABCB1",0
"ABCB10",0
"ABCB11",-0.012
"ABCB3",0.0169
"ABCB4",0.0142
"ABCB5",0
"ABCB6",0
"ABCB7",0
"ABCB8",-0.0746
"ABCB9",-0.1865
"ABCC1",0
"ABCC10",0
"ABCC11",0
"ABCC12",0
"ABCC3",-0.0631
"ABCC4",0
"ABCC4",0
"ABCC4",0
"ABCC5",0
"ABCC6",0.0015
"ABCC8",0
"ABCC9",5e-04
"ABCD1",0
"ABCD2",0
"ABCD3",0
"ABCD4",0
"ABCE1",0
"ABCF1",0
"ABCF2",-0.0399
"ABCF3",0
"ABCG1",0
"ABCG2",0
"ABCG4",0
"ABCG5",-0.0289
"ABCG8",0.0123
"ABCR",0.0871
"ABF-1",-0.0117
"ABHD1",0
"ABHD1",0
"ABHD10",0
"ABHD10",0
"ABHD10",0
"ABHD11",0
"ABHD11",0
"ABHD12",0
"ABHD12B",0
"ABHD13",0
"ABHD14A",0
"ABHD14A-ACY1",0
"ABHD14B",0
"ABHD15",0
"ABHD16A",0
"ABHD16B",0
"ABHD17A",0
"ABHD17B",0
"ABHD17C",0
"ABHD18",0
"ABHD2",0
"ABHD3",0
"ABHD4",0
"ABHD5",0
"ABHD6",0
"ABHD7",0
"ABHD8",0
"ABHD9",0
"ABI1",0
"ABI1",0
"ABI2",0
"ABI2",0
"ABI2B",0.0118
"ABI3",0
"ABI3BP",0
"ABL1",0
"ABL1",0
"ABL1",0
"ABL2",-0.0823
"ABL2",-0.0823
"AblBP3",-0.0472
"ABLIM1",0
"ABLIM2",0
"ABLIM3",0
"ABLIM3",0
"ABO",0.0196
"ABP1",0
"abp620",-0.0433
"ABPZF",-0.0116
"ABR",0
"ABRA",0
"ABRACL",0
"ABS",-0.0071
"ABT1",-0.0201
"ABTB1",0
"ABTB2",0
"AC-III",-0.0694
"ACAA1",0
"ACAA2",0
"ACACA",0
"ACACB",0
"ACAD10",0
"ACAD11",0
"ACAD8",0
"ACAD8",0
"ACAD9",0
"ACADL",0
"ACADM",0
"ACADS",0
"ACADSB",0
"ACADVL",0
"ACAN",0
"ACAP1",0
"ACAP2",0
"ACAP3",0
"ACAT1",0
"ACAT2",0
"ACBD3",0
"ACBD3",0
"ACBD4",0
"ACBD5",0
"ACBD5",0
"ACBD6",0
"ACBD7",0
"ACBP",0.0291
"ACCN1",0.0035
"ACCN2",0
"ACCN3",-0.005
"ACCS",0
"ACCSL",0
"ACD",0
"ACDP2",-0.0352
"ACE",0
"ACE2",0.2917
"ACER1",0
"ACER2",0
"ACER3",0
"ACF",-0.0472
"ACF7",0.0598
"ACHE",-0.0356
"ACHR",-0.0317
