"Gene","MPZL3"
"A14GALT",0
"A1BG",6.9908
"A1CF",0.0079
"A225490",0
"A2BP1",0
"A2LD1",0
"A2LP",0
"A2M",7.7222
"A2ML1",3.3371
"A4GALT",35.0399
"A4GNT",0.299
"A533284",0
"A746290",0
"A748492",0
"A836114",0
"AA150211",0
"AA442488",0
"AA541413",0
"AA666384",0
"AA837799",0
"AA968804",0
"AAAS",10.0727
"AACS",0.2158
"AADAC",0.6683
"AADACL1",0
"AADACL2",1.0838
"AADACL3",1.1215
"AADACL4",0
"AADAT",1.5244
"AAED1",8.0278
"AAGAB",0.5267
"AAMDC",116.0698
"AAMP",31.4011
"AA0.0T",0.772
"AAR2",7.1873
"AARD",6.2194
"AARS",0.4709
"AARS2",0
"AARSD1",23.7201
"AASDH",1.3672
"AASDH",1.3672
"AASDH",1.3672
"AASDHPPT",0.9498
"AASS",0.0026
"AATF",58.9049
"AATF",58.9049
"AATK",0
"AATK",0
"AB019568",0
"AB062480",0
"AB371542",0
"ABAT",1.4009
"ABCA1",0.9268
"ABCA1",0.9268
"ABCA10",0
"ABCA12",2.5929
"ABCA13",0
"ABCA2",0.0092
"ABCA3",0.16
"ABCA4",0.9262
"ABCA5",1.1143
"ABCA5",1.1143
"ABCA6",1.7838
"ABCA7",1.1432
"ABCA8",0.1245
"ABCA9",0.9871
"ABCB1",0.0011
"ABCB10",0.3208
"ABCB11",0.3096
"ABCB3",0
"ABCB4",2e-04
"ABCB5",0.0562
"ABCB6",0
"ABCB7",0
"ABCB8",3.244
"ABCB9",0
"ABCC1",0.6955
"ABCC10",1.3685
"ABCC11",0.0011
"ABCC12",0.2831
"ABCC3",3.137
"ABCC4",7e-04
"ABCC4",7e-04
"ABCC4",7e-04
"ABCC5",2.4729
"ABCC6",0
"ABCC8",0.2455
"ABCC9",0.5487
"ABCD1",2.3028
"ABCD2",0.0912
"ABCD3",1.0951
"ABCD4",2.7592
"ABCE1",3.4076
"ABCF1",55.5507
"ABCF2",0.4741
"ABCF3",24.9008
"ABCG1",0.0039
"ABCG2",0.3381
"ABCG4",0.4518
"ABCG5",0
"ABCG8",0.1426
"ABCR",0
"ABF-1",0
"ABHD1",0
"ABHD1",0
"ABHD10",1.2843
"ABHD10",1.2843
"ABHD10",1.2843
"ABHD11",0.0265
"ABHD11",0.0265
"ABHD12",33.4619
"ABHD12B",7e-04
"ABHD13",0.29
"ABHD14A",31.8531
"ABHD14A-ACY1",0
"ABHD14B",22.6173
"ABHD15",1.3386
"ABHD16A",3.0029
"ABHD16B",5.6628
"ABHD17A",6.9345
"ABHD17B",2.0394
"ABHD17C",4.8947
"ABHD18",0.1863
"ABHD2",15.1382
"ABHD3",0.1021
"ABHD4",5e-04
"ABHD5",25.034
"ABHD6",4.6025
"ABHD7",0
"ABHD8",14.4099
"ABHD9",0
"ABI1",0
"ABI1",0
"ABI2",0
"ABI2",0
"ABI2B",0
"ABI3",0
"ABI3BP",0.4144
"ABL1",19.9836
"ABL1",19.9836
"ABL1",19.9836
"ABL2",0
"ABL2",0
"AblBP3",0
"ABLIM1",0.0775
"ABLIM2",0.001
"ABLIM3",1.0101
"ABLIM3",1.0101
"ABO",6.605
"ABP1",0
"abp620",0
"ABPZF",0
"ABR",1.2994
"ABRA",0.0919
"ABRACL",8.0815
"ABS",0
"ABT1",3.7551
"ABTB1",0
"ABTB2",0
"AC-III",0
"ACAA1",4.42
"ACAA2",7.7189
"ACACA",0
"ACACB",1.5675
"ACAD10",1.6944
"ACAD11",0
"ACAD8",2.7256
"ACAD8",2.7256
"ACAD9",16.8425
"ACADL",1.1275
"ACADM",0.5785
"ACADS",11.1461
"ACADSB",2.2316
"ACADVL",0
"ACAN",0.2622
"ACAP1",8.034
"ACAP2",1.615
"ACAP3",46.1656
"ACAT1",14.4489
"ACAT2",3.4879
"ACBD3",27.192
"ACBD3",27.192
"ACBD4",0.4237
"ACBD5",0.456
"ACBD5",0.456
"ACBD6",37.4924
"ACBD7",0.148
"ACBP",0
"ACCN1",0
"ACCN2",0
"ACCN3",0
"ACCS",27.6102
"ACCSL",0.2898
"ACD",9e-04
"ACDP2",0
"ACE",0.0791
"ACE2",0.1439
"ACER1",18.8059
"ACER2",0.1769
"ACER3",3.0214
"ACF",0
"ACF7",0
"ACHE",1e-04
"ACHR",0
"ACIN1",26.9861
"ACKR1",46.6576
"ACKR2",2.5412
"ACKR3",6.8059
"ACKR4",0.6959
"ACLY",0.0015
"ACMSD",0
"ACN9",0
"ACO",0
"ACO1",5.0455
"ACO1",5.0455
"ACO2",2.108
"ACOD1",0.2477
"ACON",0
"ACOT1",0
"ACOT11",0
"ACOT12",0
"ACOT13",6.6719
"ACOT2",1.06
"ACOT4",1.3123
"ACOT6",0
"ACOT7",2.3615
"ACOT8",1.6397
"ACOT9",0.0014
"ACOT9",0.0014
"ACOX1",11.4961
"ACOX1",11.4961
"ACOX2",1.2244
"ACOX3",0.003
"ACOXL",0
"ACP1",2.1273
"ACP1",2.1273
"ACP2",4.6904
"ACP2",4.6904
"ACP33",0
"ACP5",6.4248
"ACP6",2.8463
"ACP7",2.57
"ACPP",0.0054
"ACPP",0.0054
"ACPT",1.8441
"ACR",0
"ACRBP",1.4214
"ACRC",0.7879
"ACRV1",0
"ACSBG1",11.4133
"ACSBG2",0.2128
"ACSF2",0
"ACSF3",8.8872
"ACSL1",1.7922
"ACSL3",9.1425
"ACSL3",9.1425
"ACSL4",0.7496
"ACSL5",0
"ACSL6",0
"ACSM1",1e-04
"ACSM2A",0
"ACSM2B",0
"ACSM3",0.0138
"ACSM4",0.3044
"ACSM5",0.1814
"ACSM6",3.5705
"ACSS1",8.1164
"ACSS2",39.3904
"ACSS2",39.3904
"ACSS3",1.7485
"ACT",0
"ACTA1",0.7274
"ACTA2",57.3311
"ACTB",383.354
"ACTBL2",0.6333
"ACTC1",0.3358
"ACTG1",2.6339
"ACTG2",5.5816
"ACTL10",4.1102
"ACTL6A",4e-04
"ACTL6B",0
"ACTL7A",0.3812
"ACTL7B",0.1947
"ACTL8",0.5655
"ACTL9",0.1923
"ACTN1",14.1431
"ACTN2",0
"ACTN3",0
"ACTN4",8.2202
"ACTR10",1.6951
"ACTR1A",51.5987
"ACTR1B",35.9314
"ACTR2",5.7058
"ACTR3",6.5803
"ACTR3",6.5803
"ACTR3",6.5803
"ACTR3B",2.757
"ACTR3B",2.757
"ACTR3C",0.2307
"ACTR5",3.8107
"ACTR6",0.3778
"ACTR8",2.2022
"ACTRT1",0
"ACTRT2",0.5769
"ACTRT3",1.1721
"ACVR1",3.8753
"ACVR1B",0.0021
"ACVR1B",0.0021
"ACVR1C",0
"ACVR2A",2.4612
"ACVR2B",0.4406
"ACVRL1",2e-04
"ACVRL1",2e-04
"ACY1",0
"ACY3",0.4274
"ACYP1",4.0613
"ACYP2",2.5305
"AD013",0
"AD023",0
"AD3LPAD5",0
"AD7C-NTP",0
"ADA",7.2316
"ADAD1",3e-04
"ADAD2",0.2526
"ADAL",2.6807
"ADAM10",0.0312
"ADAM11",0.1348
"ADAM12",0.3676
"ADAM15",1.3302
"ADAM17",3.4999
"ADAM18",0
"ADAM19",0.2634
"ADAM2",0
"ADAM20",0
"ADAM21",0
"ADAM22",0.0014
"ADAM23",0.6617
"ADAM28",0
"ADAM29",0
