"Gene","NR3C1"
"A2ML1",0.48793374
"AACS",-0.019775392
"AADACL1",2.061531615
"AADAT",-0.221118015
"AARS",-0.846810658
"AASDH",-0.279943608
"AASS",-0.086892785
"AATF",-0.088252517
"AATK",-0.046190138
"ABAT",-2.814235586
"ABCA1",0.023736991
"ABCA12",-2.875954983
"ABCA2",-0.195889508
"ABCA5",0.078671394
"ABCC4",0.030461087
"ABCG1",-0.586823944
"ABCG4",-0.025476298
"ABHD1",-0.419961965
"ABHD10",-0.180484358
"ABHD11",-0.107882137
"ABHD3",-0.394725659
"ABHD6",-2.932052596
"ABHD7",-0.300545724
"ABHD9",0.062937932
"ABI1",-0.72358385
"ABI2",-0.813415887
"ABI3",0.119990674
"ABL1",-0.126052069
"ABL2",-0.038872453
"ABLIM1",0.138391185
"ABLIM2",-0.440947299
"ABLIM3",-0.681295995
"ABO",-0.394251873
"ABR",-0.062113729
"ABRA",-0.030822906
"ABT1",0.01444698
"ACAA1",0.346199411
"ACAA2",6.509295702
"ACAD8",-0.093963915
"ACBD3",0.359263206
"ACBD5",0.074385513
"ACBD6",0.285906319
"ACBD7",-0.383458085
"ACE",-0.349814484
"ACE2",0.167806445
"ACN9",0.287700051
"ACO1",-0.056009106
"ACOT8",-0.679170727
"ACOT9",1.496504191
"ACOX1",-3.499998579
"ACP1",0.191366013
"ACP2",0.067838704
"ACPP",0.174314927
"ACRV1",-0.307360823
"ACSL1",0.761368923
"ACSL3",2.635221616
"ACSL6",0.095839176
"ACSS2",0.061603179
"ACTA1",-0.470483781
"ACTA2",0.283813485
"ACTG2",-0.177409066
"ACTL6A",0.270016114
"ACTL6B",-0.31692251
"ACTL7B",-0.165904584
"ACTR3",0.196237268
"ACTR3B",-0.477526428
"ACTR5",-0.032295773
"ACTR8",-0.113775469
"ACVR1",-0.447208787
"ACVR1B",-0.139880492
"ACVR2B",-0.07481113
"ACVRL1",-0.41981706
"ADA",-0.599903469
"ADAM33",-0.549487124
"ADAM9",2.951747659
"ADAMDEC1",-0.728190861
"ADAMTS1",0.739173372
"ADAMTS3",-0.075406208
"ADAMTS6",-0.166760222
"ADAMTS9",-0.245678507
"ADAMTSL1",-0.116740746
"ADAMTSL3",0.312980362
"ADAMTSL4",0.106455134
"ADARB1",0.582882401
"ADC",-0.156668695
"ADCK1",0.202856508
"ADCK2",0.391341875
"ADCY2",-0.17012215
"ADCY3",-0.428443672
"ADD1",-0.221698926
"ADD3",0.312682755
"ADM",0.146410968
"ADNP",0.391910672
"ADORA2A",-1.320401058
"ADPRH",-0.455999838
"ADRB1",-0.089748396
"ADRB2",-0.153752321
"ADRBK1",-0.410357276
"ADRM1",0.109481891
"ADSSL1",0.143038058
"AEBP1",0.632899646
"AEBP2",-0.350293229
"AES",0.643378424
"AFAR3",0.146632719
"AFF1",0.021763231
"AFF3",-0.371886961
"AFF4",-0.230070076
"AGER",-0.845026757
"AGGF1",0.164149736
"AGPAT3",-0.053122587
"AGPAT6",-2.368849716
"AGR2",-1.694558826
"AGRIN",3.453221003
"AGRP",-0.120555067
"AGT",-0.015987717
"AGTR1",-0.100849437
"AGXT2L2",-0.301183612
"AHCTF1",-0.150704165
"AHCY",-0.023194641
"AHCYL1",0.104037213
"AHDC1",-0.761372771
"AHR",-2.655693077
"AHRR",-0.128316077
"AIFM3",-0.19329485
"AIG1",-0.200745338
"AIM1",-0.041284105
"AIM1L",0.318898763
"AIP",0.085037686
"AIRE",-0.018524821
"AJAP1",0.007831757
"AK2",0.587677561
"AK3",-0.174771839
"AK5",-0.003214545
"AKAP12",-0.328862744
"AKAP13",-0.105041211
"AKAP7",-0.081628257
"AKAP8L",0.617195208
"AKAP9",0.403480751
"AKNA",0.010962822
"AKR1A1",-0.155942844
"AKR1C1",0.079332582
"AKR1C3",0.405980834
"AKT3",-0.044713838
"ALDH1A3",0.115884632
"ALDH1B1",-0.510235546
"ALDH1L2",-0.163332928
"ALDH3A1",0.154883549
"ALDH3A2",-0.204453393
"ALDH3B2",-0.152456929
"ALDH4A1",-0.54114928
"ALDH6A1",0.11008259
"ALDH7A1",-0.309378951
"ALDH9A1",-2.217160825
"ALG13",0.104903776
"ALG2",-0.873056137
"ALG9",-0.731259921
"ALK",-0.013851262
"ALKBH4",0.016848115
"ALMS1",0.217046045
"ALOX15B",-0.993694726
"ALOX5AP",-0.287976036
"ALOXE3",-0.230331028
"ALPI",-0.176272053
"ALS2CR13",-0.040401721
"ALS2CR8",0.239241155
"ALX3",-0.56924673
"AMAC1L2",-0.043806048
"AMACR",-0.418304946
"AMH",0.094769845
"AMIGO2",0.009347457
"AMOT",-1.124277026
"AMOTL2",0.188253449
"AMPD3",0.7079806
"AMT",0.018804582
"AMZ1",-0.246995962
"ANAPC1",0.009641942
"ANAPC11",-0.050286107
"ANAPC13",0.794830165
"ANAPC5",-0.06048106
"ANAPC7",0.17309974
"ANG",0.419598552
"ANGPTL4",0.667416504
"ANK3",0.394939811
"ANKDD1A",0.046223716
"ANKH",-0.071323204
"ANKHD1",-0.21347204
"ANKMY2",-0.062074222
"ANKRD1",-0.047535493
"ANKRD10",0.159342043
"ANKRD12",-0.184339691
"ANKRD13A",-0.033423325
"ANKRD15",0.217347307
"ANKRD17",-0.069090462
"ANKRD22",-0.454238435
"ANKRD28",-0.13457011
"ANKRD30A",-0.03001584
"ANKRD40",-0.066133199
"ANKRD43",-0.330644457
"ANKRD47",-0.079116004
"ANKRD49",0.361251102
"ANKRD57",2.80817833
"ANLN",1.91095881
"ANP32A",-1.920344727
"ANTXR2",0.472507485
"ANXA1",-0.080555782
"ANXA11",0.042215358
"ANXA2P1",-0.085162019
"ANXA3",0.093387422
"ANXA4",0.292080088
"ANXA5",-0.025697955
"ANXA8",-0.084229341
"ANXA9",-0.463495016
"AOF1",-0.258996808
"AOF2",-0.807164679
"AP1GBP1",0.001668563
"AP1M1",-0.957939632
"AP2S1",0.105904893
"AP3D1",-0.11815772
"AP3M2",-0.406222386
"AP4B1",-0.182312263
"AP4M1",0.383792712
"AP4S1",-0.191061394
"APBA2",-0.269834668
"APBB1",-0.078683536
"APBB2",-1.003452515
"APCDD1",1.349942406
"APEH",-0.174770665
"APLN",0.526990268
"APLP2",-0.18805171
"APOA1BP",0.256631926
"APOA4",-0.347482243
"APOBEC3A",-0.332608201
"APOBEC3B",-0.442887553
"APOBEC3C",0.8194583
"APOBEC3F",0.737335773
"APOBEC3G",0.785689997
"APOC1",0.650924034
"APOC3",-0.416559148
"APOC4",-0.105457648
"APOE",-1.706348748
"APOL6",0.253978531
"APP",-1.886541226
"APPBP2",-0.229924815
