"Gene","RELB"
"A2ML1",0.337155923
"AACS",-0.234868275
"AADACL1",-0.596559306
"AADAT",-0.241024389
"AARS",-0.327371704
"AASDH",-0.202709747
"AASS",-0.080127283
"AATF",-0.232016284
"AATK",0.068741814
"ABAT",3.559598716
"ABCA1",-0.074059563
"ABCA12",-2.276427254
"ABCA2",-0.219312834
"ABCA5",-0.062551179
"ABCC4",0.01602551
"ABCG1",-0.118321886
"ABCG4",0.170517622
"ABHD1",-0.777496343
"ABHD10",-0.142857622
"ABHD11",0.527340004
"ABHD3",-0.615314019
"ABHD6",1.726882409
"ABHD7",-0.072518927
"ABHD9",0.16817352
"ABI1",-1.391939236
"ABI2",-0.431933757
"ABI3",0.435863834
"ABL1",-0.107188045
"ABL2",0.08959546
"ABLIM1",0.497372942
"ABLIM2",0.008219975
"ABLIM3",-0.30521287
"ABO",0.152742658
"ABR",0.053208098
"ABRA",-0.052766266
"ABT1",0.053167684
"ACAA1",0.93462273
"ACAA2",0.342930363
"ACAD8",-0.369807348
"ACBD3",0.213549631
"ACBD5",-0.189427103
"ACBD6",0.103130639
"ACBD7",1.284758216
"ACE",-0.355262529
"ACE2",0.044471526
"ACN9",0.662006418
"ACO1",-0.469899235
"ACOT8",-0.504514384
"ACOT9",0.593241239
"ACOX1",-2.450546995
"ACP1",0.380191762
"ACP2",0.304917435
"ACPP",-0.086492049
"ACRV1",0.050602412
"ACSL1",3.095411835
"ACSL3",0.960173124
"ACSL6",0.278534319
"ACSS2",1.450093756
"ACTA1",0.129440214
"ACTA2",0.294174996
"ACTG2",0.352848142
"ACTL6A",0.190861523
"ACTL6B",0.353522675
"ACTL7B",-0.249675104
"ACTR3",0.285874272
"ACTR3B",-0.646610285
"ACTR5",-0.053195105
"ACTR8",0.004499013
"ACVR1",-0.555777428
"ACVR1B",-4.909842565
"ACVR2B",0.653679796
"ACVRL1",-0.426293676
"ADA",-0.412360027
"ADAM33",-0.493825617
"ADAM9",-3.336375183
"ADAMDEC1",-0.344553353
"ADAMTS1",0.980824318
