"Gene","RORA"
"A2ML1",0.046220824
"AACS",-0.096431767
"AADACL1",-0.042901826
"AADAT",-0.443010551
"AARS",-1.296539596
"AASDH",-0.18065238
"AASS",-0.133490259
"AATF",-0.316881878
"AATK",-0.21318027
"ABAT",-2.611741531
"ABCA1",-0.223655275
"ABCA12",-1.868150332
"ABCA2",-0.37952495
"ABCA5",0.275050887
"ABCC4",0.073641821
"ABCG1",0.533118978
"ABCG4",0.335205018
"ABHD1",-0.018001362
"ABHD10",-0.233935062
"ABHD11",0.311000292
"ABHD3",-0.303032055
"ABHD6",-2.438384066
"ABHD7",-0.577083907
"ABHD9",-0.240196781
"ABI1",-1.263847064
"ABI2",0.048631649
"ABI3",0.412581607
"ABL1",0.030270847
"ABL2",0.139372897
"ABLIM1",-0.335021954
"ABLIM2",0.424754209
"ABLIM3",0.191612065
"ABO",0.1293168
"ABR",0.308131389
"ABRA",0.003364901
"ABT1",-0.004347484
"ACAA1",0.50611417
"ACAA2",-2.8893602
"ACAD8",-0.128193515
"ACBD3",0.223728804
"ACBD5",-0.100800323
"ACBD6",-0.036545051
"ACBD7",2.4304159
"ACE",-0.480454453
"ACE2",0.123330073
"ACN9",-0.153985707
"ACO1",-0.188980919
"ACOT8",-0.581163956
"ACOT9",1.370233817
"ACOX1",2.030222256
"ACP1",0.802679009
"ACP2",0.159971173
"ACPP",0.136789868
"ACRV1",-0.294542362
"ACSL1",1.00694275
"ACSL3",0.611114983
"ACSL6",-0.00043031
"ACSS2",1.158368104
"ACTA1",-0.333412936
"ACTA2",0.913352832
"ACTG2",-0.161286924
"ACTL6A",0.10382991
"ACTL6B",0.235964729
"ACTL7B",-0.034326358
"ACTR3",0.146905114
"ACTR3B",-0.640872322
"ACTR5",0.055130597
"ACTR8",-0.017515844
"ACVR1",-0.569791298
"ACVR1B",-4.898372218
"ACVR2B",0.322352563
"ACVRL1",-0.38200859
"ADA",-0.243537451
"ADAM33",-0.493817404
"ADAM9",4.692009485
"ADAMDEC1",-0.52623674
"ADAMTS1",0.125113757
"ADAMTS3",-0.055960921
"ADAMTS6",0.217486975
"ADAMTS9",-0.223799123
"ADAMTSL1",-0.102017451
"ADAMTSL3",0.251031692
"ADAMTSL4",0.245179489
"ADARB1",-0.836263971
"ADC",-0.372259247
"ADCK1",0.21125935
"ADCK2",0.130055898
"ADCY2",0.116848459
"ADCY3",-0.340241379
"ADD1",0.084050168
"ADD3",0.242339424
"ADM",-0.366509576
"ADNP",3.738288666
"ADORA2A",-1.210904001
"ADPRH",0.039075043
"ADRB1",-0.082196387
"ADRB2",-0.427589991
"ADRBK1",0.418156365
"ADRM1",-0.032214951
"ADSSL1",0.284477466
"AEBP1",-0.066140161
"AEBP2",-0.040629148
"AES",-0.462689352
"AFAR3",-0.181899965
"AFF1",0.150215994
"AFF3",-0.214286956
"AFF4",-0.032037496
"AGER",-0.99205198
"AGGF1",-0.433820694
"AGPAT3",-0.007959154
"AGPAT6",0.930563959
"AGR2",-1.821446854
"AGRIN",0.761770495
"AGRP",-0.102330165
"AGT",-0.004513519
"AGTR1",-0.075337808
"AGXT2L2",-0.134979483
"AHCTF1",0.253289007
"AHCY",-0.018668514
"AHCYL1",0.133438618
"AHDC1",-0.180583699
"AHR",-2.954922613
"AHRR",0.138635
"AIFM3",-0.024821521
"AIG1",0.628340387
"AIM1",-0.204709813
"AIM1L",-0.208491005
"AIP",-0.191925467
"AIRE",0.34581161
"AJAP1",0.085524146
"AK2",0.911917095
"AK3",0.012462138
"AK5",-0.101811146
"AKAP12",-0.18651971
"AKAP13",0.214119501
"AKAP7",-0.148934694
"AKAP8L",-0.739295665
"AKAP9",1.49164168
"AKNA",0.20885184
"AKR1A1",-0.223949784
"AKR1C1",-0.084870261
"AKR1C3",-0.550201936
"AKT3",-0.104838551
"ALDH1A3",0.171803063
"ALDH1B1",-0.761219251
"ALDH1L2",0.179998318
"ALDH3A1",0.157852821
"ALDH3A2",-0.031356831
"ALDH3B2",0.210122908
"ALDH4A1",-0.594931116
"ALDH6A1",0.19762248
"ALDH7A1",-0.292676126
"ALDH9A1",-2.405200047
"ALG13",5.996552897
"ALG2",-0.720806267
"ALG9",2.028817537
"ALK",-0.006931393
"ALKBH4",0.446318621
"ALMS1",-0.021577474
"ALOX15B",1.45591305
"ALOX5AP",-0.330732273
"ALOXE3",0.298138887
"ALPI",-0.341617603
"ALS2CR13",0.022167334
"ALS2CR8",0.082615627
"ALX3",-0.369212422
"AMAC1L2",-0.130956245
"AMACR",-0.448575061
"AMH",0.385236702
"AMIGO2",-0.136226107
"AMOT",-1.319080985
"AMOTL2",0.034158106
"AMPD3",0.715811963
"AMT",-0.140749207
"AMZ1",-0.072494128
"ANAPC1",-0.191295348
"ANAPC11",-0.190536525
"ANAPC13",2.648129851
"ANAPC5",-0.166084563
"ANAPC7",-0.210651571
"ANG",0.148696275
"ANGPTL4",-1.029070063
"ANK3",0.406437969
"ANKDD1A",-0.128559685
"ANKH",0.080497306
"ANKHD1",-0.798734268
"ANKMY2",0.026529974
"ANKRD1",-0.008736285
"ANKRD10",-0.175786238
"ANKRD12",0.259418243
"ANKRD13A",0.422376893
"ANKRD15",-0.13971746
"ANKRD17",-0.348720008
"ANKRD22",-1.462795557
"ANKRD28",-0.098248667
"ANKRD30A",-0.012681938
"ANKRD40",-0.045486978
"ANKRD43",-0.526913608
"ANKRD47",0.888298701
"ANKRD49",-0.405452045
"ANKRD57",-3.747161021
"ANLN",-1.568994196
"ANP32A",1.841009269
