"Gene","SP3"
"A2ML1",0.731242948
"AACS",0.180911453
"AADACL1",0.048067512
"AADAT",-0.334218511
"AARS",-0.979946979
"AASDH",-0.156242295
"AASS",0.034092203
"AATF",-0.341692022
"AATK",-0.155802331
"ABAT",-5.736280661
"ABCA1",-0.175281353
"ABCA12",-3.382928433
"ABCA2",-0.293524239
"ABCA5",-0.177808831
"ABCC4",-0.086424235
"ABCG1",-0.105685361
"ABCG4",0.317425168
"ABHD1",-0.565758361
"ABHD10",-0.124319215
"ABHD11",0.04406221
"ABHD3",-0.538194381
"ABHD6",-1.778698681
"ABHD7",-0.370170922
"ABHD9",0.070867016
"ABI1",-1.348860459
"ABI2",-0.468780696
"ABI3",0.476938186
"ABL1",-0.054954492
"ABL2",0.086599779
"ABLIM1",0.089081204
"ABLIM2",-0.780804179
"ABLIM3",-0.714812019
"ABO",0.198822611
"ABR",0.421866958
"ABRA",0.032306562
"ABT1",-0.213363229
"ACAA1",0.382735858
"ACAA2",-0.521804276
"ACAD8",-0.177307382
"ACBD3",0.583120068
"ACBD5",-0.245252926
"ACBD6",0.002683255
"ACBD7",1.969297108
"ACE",-0.288414222
"ACE2",-0.022879134
"ACN9",0.006405949
"ACO1",-0.763309386
"ACOT8",-1.178988991
"ACOT9",1.179602477
"ACOX1",-3.589667418
"ACP1",0.724117609
"ACP2",0.012941098
"ACPP",-0.034060145
"ACRV1",-0.090869693
"ACSL1",-2.075543551
"ACSL3",1.568310604
"ACSL6",-0.063444297
"ACSS2",1.042071785
"ACTA1",0.031701751
"ACTA2",0.250370929
"ACTG2",-0.719313895
"ACTL6A",0.027514033
"ACTL6B",0.279952789
"ACTL7B",0.04107429
"ACTR3",0.445725795
"ACTR3B",-0.029125223
"ACTR5",0.021599347
"ACTR8",-0.162047833
"ACVR1",-0.866190038
"ACVR1B",-6.075083866
"ACVR2B",0.372096769
"ACVRL1",-0.404804243
"ADA",-0.395497114
"ADAM33",-0.400577996
"ADAM9",5.945001897
"ADAMDEC1",-0.341524701
"ADAMTS1",-0.312410615
"ADAMTS3",-0.110061665
"ADAMTS6",0.365324986
"ADAMTS9",-0.126796208
"ADAMTSL1",0.363053264
"ADAMTSL3",-0.048106888
"ADAMTSL4",-0.22118197
"ADARB1",2.043595479
"ADC",-0.11801354
"ADCK1",0.265021293
"ADCK2",-0.053785187
"ADCY2",0.04403855
"ADCY3",-0.460307157
"ADD1",-0.219798612
"ADD3",0.687120366
"ADM",0.124120086
"ADNP",0.843641805
"ADORA2A",-0.149873203
"ADPRH",-0.034708506
"ADRB1",0.827837433
"ADRB2",-0.041066053
"ADRBK1",-0.432303845
"ADRM1",-0.239976348
"ADSSL1",-0.003223546
"AEBP1",0.294449714
"AEBP2",0.034227118
"AES",0.5783461
"AFAR3",-0.331615849
"AFF1",0.08566101
"AFF3",-0.328545868
"AFF4",-0.134464285
"AGER",-0.013293268
"AGGF1",0.120203367
"AGPAT3",-0.183290264
"AGPAT6",-0.155947231
"AGR2",-1.620336129
"AGRIN",3.043417735
"AGRP",-0.061835255
"AGT",-0.063222334
"AGTR1",-0.126845066
"AGXT2L2",-0.47553072
"AHCTF1",0.444920793
"AHCY",-0.103574988
