"Gene","STAT3"
"A2ML1",-0.048904723
"AACS",0.074824127
"AADACL1",0.021155805
"AADAT",-0.445604632
"AARS",-1.605625132
"AASDH",-0.200209494
"AASS",0.098519291
"AATF",-0.050771927
"AATK",0.250591507
"ABAT",-3.40338889
"ABCA1",-0.246082071
"ABCA12",-0.622005044
"ABCA2",-0.239754856
"ABCA5",-0.078193662
"ABCC4",0.027986436
"ABCG1",-0.140235629
"ABCG4",0.192200676
"ABHD1",-0.023873491
"ABHD10",-0.087398343
"ABHD11",0.273851669
"ABHD3",-0.439764293
"ABHD6",-1.896693689
"ABHD7",-0.291701886
"ABHD9",-0.176136877
"ABI1",-1.353978176
"ABI2",0.084865427
"ABI3",0.464123575
"ABL1",-0.002176126
"ABL2",0.067363629
"ABLIM1",-0.056268939
"ABLIM2",0.033310018
"ABLIM3",0.860134528
"ABO",-0.733475901
"ABR",0.24361117
"ABRA",-0.042013282
"ABT1",-0.165628807
"ACAA1",0.454549728
"ACAA2",-1.464078171
"ACAD8",-0.067771478
"ACBD3",0.133003857
"ACBD5",-0.152169888
"ACBD6",-0.043269526
"ACBD7",1.444880879
"ACE",-0.421038792
"ACE2",0.038134854
"ACN9",0.258724212
"ACO1",-0.125697685
"ACOT8",-1.101460148
"ACOT9",1.446991861
"ACOX1",-2.139537326
"ACP1",0.626294361
"ACP2",-0.016943234
"ACPP",0.195269146
"ACRV1",-0.303535851
"ACSL1",0.089051961
"ACSL3",1.332761137
"ACSL6",-0.037604444
"ACSS2",2.605759269
"ACTA1",-0.635507312
"ACTA2",0.079067395
"ACTG2",-0.764162075
"ACTL6A",-0.041256459
"ACTL6B",0.009931422
"ACTL7B",0.024972651
"ACTR3",0.373103687
"ACTR3B",-0.475524066
"ACTR5",0.119164193
"ACTR8",-0.13500271
"ACVR1",-0.751030551
"ACVR1B",-3.869887637
"ACVR2B",0.626958998
"ACVRL1",-0.413548439
"ADA",-0.417694987
"ADAM33",-0.447031275
"ADAM9",3.801011659
"ADAMDEC1",-0.43430937
"ADAMTS1",-0.112360954
"ADAMTS3",-0.090126179
"ADAMTS6",0.356878907
"ADAMTS9",-0.231648883
"ADAMTSL1",-0.160694486
"ADAMTSL3",0.312930268
"ADAMTSL4",-0.3058668
"ADARB1",-0.16922156
"ADC",-0.159093525
"ADCK1",0.09353443
"ADCK2",1.287217201
"ADCY2",0.132687998
"ADCY3",-0.465192346
"ADD1",-0.018546595
"ADD3",0.06216938
"ADM",0.293681703
"ADNP",0.908198416
"ADORA2A",-1.13467957
"ADPRH",-0.080166772
"ADRB1",0.025330441
"ADRB2",0.254362963
"ADRBK1",-0.056830312
"ADRM1",0.03315255
"ADSSL1",0.140420524
"AEBP1",0.454017148
"AEBP2",-0.203955801
"AES",-0.248583975
"AFAR3",-0.260303339
"AFF1",0.104892176
"AFF3",-0.190939134
"AFF4",-0.182313171
"AGER",-0.72700209
"AGGF1",-0.121996958
"AGPAT3",0.054620027
"AGPAT6",-0.349185367
"AGR2",1.033838807
"AGRIN",-1.807198817
"AGRP",-0.062736494
"AGT",-0.035335941
"AGTR1",0.063062811
"AGXT2L2",-0.141220587
"AHCTF1",0.432339057
"AHCY",-0.024306008
"AHCYL1",0.056066208
"AHDC1",0.160893019
"AHR",-2.530712478
"AHRR",0.082752928
"AIFM3",-0.038347631
"AIG1",-0.122102044
"AIM1",-0.219813452
"AIM1L",-0.359141485
"AIP",-0.050482733
"AIRE",0.409252766
"AJAP1",0.48448967
"AK2",0.238839688
"AK3",-0.018801144
"AK5",0.231788675
"AKAP12",-0.001525478
"AKAP13",0.212673249
"AKAP7",0.019914382
"AKAP8L",-0.448776659
"AKAP9",0.409700258
"AKNA",0.232152883
"AKR1A1",-0.213150513
"AKR1C1",-0.128152649
"AKR1C3",0.503907582
"AKT3",0.044599857
"ALDH1A3",0.03652977
"ALDH1B1",-0.780696182
"ALDH1L2",0.268237285
"ALDH3A1",0.060733234
"ALDH3A2",0.04784738
"ALDH3B2",-0.098678265
"ALDH4A1",-0.14618729
"ALDH6A1",0.307382276
"ALDH7A1",-0.186043126
"ALDH9A1",-1.956291514
"ALG13",0.235228831
"ALG2",-1.428348515
"ALG9",1.601187769
"ALK",-0.043077304
"ALKBH4",0.231160297
"ALMS1",0.220663978
"ALOX15B",-0.104783724
"ALOX5AP",-0.346623082
"ALOXE3",0.234303642
"ALPI",-0.20105868
"ALS2CR13",0.01107957
"ALS2CR8",0.028307232
"ALX3",-0.39040289
"AMAC1L2",-0.3957791
"AMACR",-0.59057874
"AMH",0.280264979
"AMIGO2",-1.878025592
"AMOT",-0.607990615
