Experiment,Link,Author,New_Link
KLF4,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Sen,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE32685
ZNF750,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Sen,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE32685
ACTL,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Sen,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE36222
GRHL3,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Hopkin,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE37049
MLL2,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Hopkin,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE37570
SNAI2_Over,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Sun,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44561
SNAI2_Knockdown,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Sun,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44561
DMNT1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Sen,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18590
CBX4_Over,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Luis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31093
CBX4_Knockdown,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Luis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31093
MAFB1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Lopez-Pazares,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52954
MPZL3,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Bhaduri,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4845910/
FDXR,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Bhaduri,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4845910/
