"","Gene","CALML5"
"1","CASP14",-6.115146554
"2","LOR",-5.937737778
"3","KRT9",-5.68433919
"4","CALML5",-5.419114265
"5","ARG1",-4.32920139
"6","KRT1",-4.31244723
"7","FLG2",-4.31205523
"8","SERPINB12",-4.279829997
"9","GJA1",-4.265000123
"10","SLURP1",-4.118722392
"11","C10orf99",-4.091344287
"12","HRNR",-4.051107086
"13","IL37",-3.747339562
"14","CXCL14",-3.652094508
"15","FABP4",-3.5323796
"16","S100A7L2",-3.432269785
"17","S100A8",-3.414235491
"18","AADACL2",-3.412928006
"19","IGFBP3",-3.397745956
"20","FMO2",-3.379734347
"21","FLG",-3.282154122
"22","CD36",-3.227018733
"23","DIO2",-3.195791411
"24","PDZK1IP1",-3.083675653
"25","TGM5",-3.038726385
"26","BPIFC",-3.008218651
"27","BLMH",-2.982316601
"28","SDR16C5",-2.96376905
"29","FLG-AS1",-2.939096338
"30","TMPRSS11A",-2.914355568
"31","AHNAK",-2.903551218
"32","APOB",-2.890590774
"33","CHRNA9",-2.864671551
"34","KRT2",-2.861307273
"35","PYDC1",-2.859252457
"36","PLA2G4D",-2.857759787
"37","IDE",-2.853155818
"38","PSORS1C2",-2.837244174
"39","THEM5",-2.806799576
"40","DAPL1",-2.799654222
"41","FABP7",-2.757245641
"42","FGFBP1",-2.733092161
"43","HIST1H1B",-2.725976966
"44","ELMOD1",-2.703808039
"45","TCN1",-2.703799393
"46","ENDOU",-2.697885195
"47","GSTT2B",-2.649817545
"48","ASPRV1",-2.648666873
"49","GSTT2",-2.638446322
"50","AKR1B10",-2.632564669
"51","MSMB",-2.613920052
"52","DHCR24",-2.609353718
"53","FABP5P1",-2.57662601
"54","ALDH3B2",-2.543474659
"55","ABHD12B",-2.519705121
"56","APOD",-2.518147352
"57","C5orf46",-2.505520353
"58","CNPY4",-2.50199474
"59","CRISP3",-2.465444428
"60","FABP5P7",-2.455261847
"61","SLC46A2",-2.448003916
"62","FABP5P3",-2.379560562
"63","S100A9",-2.358925977
"64","VSIG8",-2.30031665
"65","PRCP",-2.285710545
"66","PTPRZ1",-2.278128782
"67","GJB6",-2.265415751
"68","SMART-3",-2.263399319
"69","AKR1C1",-2.25029168
"70","HYAL4",-2.238200994
"71","GBP6",-2.228717214
"72","TMPRSS11D",-2.22254272
"73","ALOX12B",-2.214489219
"74","APPL2",-2.178785785
"75","LCE1E",-2.160903347
"76","KLK13",-2.152914488
"77","CXCR7",-2.146977714
"78","GPX3",-2.142285511
"79","SPINK7",-2.137941462
"80","HIST1H2BM",-2.122928749
"81","IMPA2",-2.116780051
"82","CYB5A",-2.093197865
"83","AKR1C2",-2.044544348
"84","AHNAK2",-2.029396466
"85","HIST1H2BB",-2.020437334
"86","SMAP2",-2.014444159
"87","PTGER3",-2.008310281
"88","LYPD2",-1.982722891
"89","GCNT3",-1.974695051
"90","HIST2H2BA",-1.957881181
"91","LCE1C",-1.947770274
"92","HIST1H1D",-1.92360153
"93","CTSH",-1.922227669
"94","IL36B",-1.921492192
"95","GCNT1",-1.917443959
"96","OXCT1",-1.900102934
"97","EPHA4",-1.899596623
"98","IGFL3",-1.899412953
"99","LEPREL1",-1.875598025
"100","LIPM",-1.870993413
"101","ELF5",-1.870282544
"102","UROS",-1.858452441
"103","AKR1B15",-1.854455633
"104","FNTB",-1.852450081
"105","PSAPL1",-1.84438671
"106","CA12",-1.843429001
"107","CD86",-1.837510663
"108","SDR9C7",-1.834240727
"109","GDA",-1.834037734
"110","PIR",-1.83243884
"111","MMP1",-1.796670584
"112","PYCARD",-1.775470276
"113","TAGLN3",-1.771673592
"114","HPSE",-1.747457607
"115","CA6",-1.736001662
"116","GBP2",-1.730216568
"117","OTUB2",-1.727734834
"118","PMVK",-1.727043117
"119","ACPP",-1.711183754
"120","GAS7",-1.710907183
"121","PLXDC2",-1.709909281
"122","SERPINA12",-1.707550656
"123","VSIG10L",-1.704739931
"124","ALDOC",-1.702171145
"125","FDFT1",-1.699143219
"126","HIST2H2BF",-1.698988818
"127","CSNK2A2",-1.680927454
"128","CYP4F22",-1.678549804
"129","ATP7A",-1.677468591
"130","HIST1H4B",-1.66595172
"131","CAPNS2",-1.661307439
"132","HIST2H3PS2",-1.659974232
"133","ERMP1",-1.651066079
"134","WNT5A",-1.626248835
"135","SNTB1",-1.625511292
"136","ELOVL1",-1.625326345
